"","powder","test","media","mean_count","lab"
"1","A","HHR.TSC","PCMA",60,"UC"
"2","A","HHR.TSC","TSAwS",20,"UC"
"3","A","SP.MSC","PCMA",100,"UC"
"4","A","SP.MSC","TSAwS",200,"UC"
"5","A","STSE","PCMA",0,"UC"
"6","A","STSE","TSAwS",0,"UC"
"7","B","HHR.TSC","PCMA",34000,"UC"
"8","B","HHR.TSC","TSAwS",800,"UC"
"9","B","SP.MSC","PCMA",60,"UC"
"10","B","SP.MSC","TSAwS",220,"UC"
"11","B","STSE","PCMA",0,"UC"
"12","B","STSE","TSAwS",0,"UC"
"13","C","HHR.TSC","PCMA",60,"UC"
"14","C","HHR.TSC","TSAwS",20,"UC"
"15","C","SP.MSC","PCMA",40,"UC"
"16","C","SP.MSC","TSAwS",180,"UC"
"17","C","STSE","PCMA",60,"UC"
"18","C","STSE","TSAwS",20,"UC"
"19","D","HHR.TSC","PCMA",1360,"UC"
"20","D","HHR.TSC","TSAwS",2900,"UC"
"21","D","SP.MSC","PCMA",200,"UC"
"22","D","SP.MSC","TSAwS",160,"UC"
"23","D","STSE","PCMA",400,"UC"
"24","D","STSE","TSAwS",120,"UC"
"25","E","HHR.TSC","PCMA",140,"UC"
"26","E","HHR.TSC","TSAwS",40,"UC"
"27","E","SP.MSC","PCMA",320,"UC"
"28","E","SP.MSC","TSAwS",160,"UC"
"29","E","STSE","PCMA",0,"UC"
"30","E","STSE","TSAwS",0,"UC"
"31","F","HHR.TSC","PCMA",2620,"UC"
"32","F","HHR.TSC","TSAwS",4960,"UC"
"33","F","SP.MSC","PCMA",20,"UC"
"34","F","SP.MSC","TSAwS",100,"UC"
"35","F","STSE","PCMA",2500,"UC"
"36","F","STSE","TSAwS",660,"UC"
"37","G","HHR.TSC","PCMA",1320,"UC"
"38","G","HHR.TSC","TSAwS",280,"UC"
"39","G","SP.MSC","PCMA",140,"UC"
"40","G","SP.MSC","TSAwS",300,"UC"
"41","G","STSE","PCMA",120,"UC"
"42","G","STSE","TSAwS",0,"UC"
"43","H","HHR.TSC","PCMA",120,"UC"
"44","H","HHR.TSC","TSAwS",20,"UC"
"45","H","SP.MSC","PCMA",120,"UC"
"46","H","SP.MSC","TSAwS",100,"UC"
"47","H","STSE","PCMA",40,"UC"
"48","H","STSE","TSAwS",0,"UC"
