"","powder","test","media","mean_count","mean_SPR","lab","mean_count2","log_mean_count"
"1","A","HHR.TSC","PCMA",20,"0","IC",20,1.30102999566398
"2","A","HHR.TSC","TSA",20,"0","IC",20,1.30102999566398
"3","A","STSE","PCMA",0,"0","IC",10,1
"4","A","STSE","TSA",0,"0","IC",10,1
"5","A","SP.MSC","PCMA",40,"1","IC",40,1.60205999132796
"6","A","SP.MSC","TSA",40,"1","IC",40,1.60205999132796
"7","B","HHR.TSC","PCMA",2320,"0","IC",2320,3.3654879848909
"8","B","HHR.TSC","TSA",580,"0","IC",580,2.76342799356294
"9","B","STSE","PCMA",40,"0","IC",40,1.60205999132796
"10","B","STSE","TSA",0,"0","IC",10,1
"11","B","SP.MSC","PCMA",40,"1","IC",40,1.60205999132796
"12","B","SP.MSC","TSA",80,"0","IC",80,1.90308998699194
"13","C","HHR.TSC","PCMA",0,"0","IC",10,1
"14","C","HHR.TSC","TSA",40,"0","IC",40,1.60205999132796
"15","C","STSE","PCMA",0,"0","IC",10,1
"16","C","STSE","TSA",60,"0","IC",60,1.77815125038364
"17","C","SP.MSC","PCMA",40,"1","IC",40,1.60205999132796
"18","C","SP.MSC","TSA",100,"1","IC",100,2
"19","D","HHR.TSC","PCMA",520,"0","IC",520,2.7160033436348
"20","D","HHR.TSC","TSA",80,"0","IC",80,1.90308998699194
"21","D","STSE","PCMA",180,"0","IC",180,2.25527250510331
"22","D","STSE","TSA",60,"0","IC",60,1.77815125038364
"23","D","SP.MSC","PCMA",80,"0","IC",80,1.90308998699194
"24","D","SP.MSC","TSA",80,"0","IC",80,1.90308998699194
"25","E","HHR.TSC","PCMA",40,"0","IC",40,1.60205999132796
"26","E","HHR.TSC","TSA",60,"0","IC",60,1.77815125038364
"27","E","STSE","PCMA",0,"0","IC",10,1
"28","E","STSE","TSA",0,"0","IC",10,1
"29","E","SP.MSC","PCMA",60,"1","IC",60,1.77815125038364
"30","E","SP.MSC","TSA",140,"1","IC",140,2.14612803567824
"31","F","HHR.TSC","PCMA",4180,"0","IC",4180,3.62117628177504
"32","F","HHR.TSC","TSA",4420,"0","IC",4420,3.64542226934909
"33","F","STSE","PCMA",5020,"0","IC",5020,3.70070371714502
