"","powder","media","plating","test","mean_count","mean_spread_percent","mean_count_wNA","SPR","SPRs","temp_media","mean_count2","log_mean_count","log_mean_count_wNA","mean_spread_percent_wNA","SPRs_wNA","SPR_wNA"
"1","A","BHI","Pour","HHR.TSC",50,0,50,"no","none","Pour",50,1.69897000433602,1.69897000433602,0,"none","no"
"2","A","BHI","Pour","SP.MSC",120,0,120,"no","none","Pour",120,2.07918124604762,2.07918124604762,0,"none","no"
"3","A","BHI","Pour","SP.TSC",260,17.5,260,"no","no","Pour",260,2.41497334797082,2.41497334797082,17.5,"no","no"
"4","A","BHI","Pour","STSE",0,0,0,"no","none","Pour",5,0.698970004336019,0.698970004336019,0,"none","no"
"5","A","BHI","Spread","HHR.TSC",0,0,0,"no","none","Spread",10,1,1,0,"none","no"
"6","A","BHI","Spread","SP.MSC",120,0,120,"no","none","Spread",120,2.07918124604762,2.07918124604762,0,"none","no"
"7","A","BHI","Spread","SP.TSC",60,90,60,"yes","yes","Spread",60,1.77815125038364,1.77815125038364,90,"yes","yes"
"8","A","BHI","Spread","STSE",0,0,0,"no","none","Spread",10,1,1,0,"none","no"
"9","A","BHI","SpreadwOverlay","HHR.TSC",40,0,40,"no","none","SpreadwOverlay",40,1.60205999132796,1.60205999132796,0,"none","no"
"10","A","BHI","SpreadwOverlay","SP.MSC",300,0,300,"no","none","SpreadwOverlay",300,2.47712125471966,2.47712125471966,0,"none","no"
"11","A","BHI","SpreadwOverlay","SP.TSC",240,17.5,240,"no","no","SpreadwOverlay",240,2.38021124171161,2.38021124171161,17.5,"no","no"
"12","A","BHI","SpreadwOverlay","STSE",0,0,0,"no","none","SpreadwOverlay",10,1,1,0,"none","no"
"13","A","PCMA","Pour","HHR.TSC",40,0,40,"no","none","Pour",40,1.60205999132796,1.60205999132796,0,"none","no"
"14","A","PCMA","Pour","SP.MSC",150,0,150,"no","none","Pour",150,2.17609125905568,2.17609125905568,0,"none","no"
"15","A","PCMA","Pour","SP.TSC",250,45,250,"yes","yes","Pour",250,2.39794000867204,2.39794000867204,45,"yes","yes"
"16","A","PCMA","Pour","STSE",0,0,0,"no","none","Pour",5,0.698970004336019,0.698970004336019,0,"none","no"
"17","A","PCMA","Spread","HHR.TSC",60,0,60,"no","none","Spread",60,1.77815125038364,1.77815125038364,0,"none","no"
"18","A","PCMA","Spread","SP.MSC",100,15,100,"no","no","Spread",100,2,2,15,"no","no"
"19","A","PCMA","Spread","SP.TSC",140,75,140,"yes","yes","Spread",140,2.14612803567824,2.14612803567824,75,"yes","yes"
"20","A","PCMA","Spread","STSE",0,0,0,"no","none","Spread",10,1,1,0,"none","no"
"21","A","PCMA","SpreadwOverlay","HHR.TSC",20,0,20,"no","none","SpreadwOverlay",20,1.30102999566398,1.30102999566398,0,"none","no"
"22","A","PCMA","SpreadwOverlay","SP.MSC",80,0,80,"no","none","SpreadwOverlay",80,1.90308998699194,1.90308998699194,0,"none","no"
"23","A","PCMA","SpreadwOverlay","SP.TSC",500,5,500,"no","no","SpreadwOverlay",500,2.69897000433602,2.69897000433602,5,"no","no"
"24","A","PCMA","SpreadwOverlay","STSE",0,0,0,"no","none","SpreadwOverlay",10,1,1,0,"none","no"
"25","A","SMA","Pour","HHR.TSC",30,0,30,"no","none","Pour",30,1.47712125471966,1.47712125471966,0,"none","no"
"26","A","SMA","Pour","SP.MSC",180,0,180,"no","none","Pour",180,2.25527250510331,2.25527250510331,0,"none","no"
"27","A","SMA","Pour","SP.TSC",470,7.5,470,"no","no","Pour",470,2.67209785793572,2.67209785793572,7.5,"no","no"
"28","A","SMA","Pour","STSE",0,0,0,"no","none","Pour",5,0.698970004336019,0.698970004336019,0,"none","no"
"29","A","SMA","Spread","HHR.TSC",0,0,0,"no","none","Spread",10,1,1,0,"none","no"
"30","A","SMA","Spread","SP.MSC",120,0,120,"no","none","Spread",120,2.07918124604762,2.07918124604762,0,"none","no"
"31","A","SMA","Spread","SP.TSC",600,5,600,"no","no","Spread",600,2.77815125038364,2.77815125038364,5,"no","no"
"32","A","SMA","Spread","STSE",0,0,0,"no","none","Spread",10,1,1,0,"none","no"
"33","A","SMA","SpreadwOverlay","HHR.TSC",20,0,20,"no","none","SpreadwOverlay",20,1.30102999566398,1.30102999566398,0,"none","no"
"34","A","SMA","SpreadwOverlay","SP.MSC",100,0,100,"no","none","SpreadwOverlay",100,2,2,0,"none","no"
"35","A","SMA","SpreadwOverlay","SP.TSC",500,12.5,500,"no","no","SpreadwOverlay",500,2.69897000433602,2.69897000433602,12.5,"no","no"
"36","A","SMA","SpreadwOverlay","STSE",0,0,0,"no","none","SpreadwOverlay",10,1,1,0,"none","no"
"37","A","TSAwS","Pour","HHR.TSC",70,0,70,"no","none","Pour",70,1.84509804001426,1.84509804001426,0,"none","no"
"38","A","TSAwS","Pour","SP.MSC",110,0,110,"no","none","Pour",110,2.04139268515822,2.04139268515822,0,"none","no"
"39","A","TSAwS","Pour","SP.TSC",340,35,340,"yes","yes","Pour",340,2.53147891704225,2.53147891704225,35,"yes","yes"
"40","A","TSAwS","Pour","STSE",0,0,0,"no","none","Pour",5,0.698970004336019,0.698970004336019,0,"none","no"
"41","A","TSAwS","Spread","HHR.TSC",20,0,20,"no","none","Spread",20,1.30102999566398,1.30102999566398,0,"none","no"
"42","A","TSAwS","Spread","SP.MSC",200,30,200,"yes","yes","Spread",200,2.30102999566398,2.30102999566398,30,"yes","yes"
"43","A","TSAwS","Spread","SP.TSC",80,75,80,"yes","yes","Spread",80,1.90308998699194,1.90308998699194,75,"yes","yes"
"44","A","TSAwS","Spread","STSE",0,0,0,"no","none","Spread",10,1,1,0,"none","no"
"45","A","TSAwS","SpreadwOverlay","HHR.TSC",60,0,60,"no","none","SpreadwOverlay",60,1.77815125038364,1.77815125038364,0,"none","no"
"46","A","TSAwS","SpreadwOverlay","SP.MSC",100,0,100,"no","none","SpreadwOverlay",100,2,2,0,"none","no"
"47","A","TSAwS","SpreadwOverlay","SP.TSC",140,0,140,"no","none","SpreadwOverlay",140,2.14612803567824,2.14612803567824,0,"none","no"
"48","A","TSAwS","SpreadwOverlay","STSE",0,0,0,"no","none","SpreadwOverlay",10,1,1,0,"none","no"
"49","B","BHI","Pour","HHR.TSC",12000,0,12000,"no","none","Pour",12000,4.07918124604763,4.07918124604763,0,"none","no"
"50","B","BHI","Pour","SP.MSC",390,0,390,"no","none","Pour",390,2.5910646070265,2.5910646070265,0,"none","no"
"51","B","BHI","Pour","SP.TSC",157000,0,157000,"no","none","Pour",157000,5.19589965240923,5.19589965240923,0,"none","no"
"52","B","BHI","Pour","STSE",0,0,0,"no","none","Pour",5,0.698970004336019,0.698970004336019,0,"none","no"
"53","B","BHI","Spread","HHR.TSC",180,0,180,"no","none","Spread",180,2.25527250510331,2.25527250510331,0,"none","no"
