powder,media,plating,test,mean_count,mean_spread_percent,mean_count_wNA,SPR,SPRs,temp_media,mean_count2,log_mean_count,log_mean_count_wNA,mean_spread_percent_wNA,SPRs_wNA,SPR_wNA
A,BHI,Pour,HHR.TSC,50,0,50,no,none,Pour,50,1.698970004,1.698970004,0,none,no
A,BHI,Pour,SP.MSC,120,0,120,no,none,Pour,120,2.079181246,2.079181246,0,none,no
A,BHI,Pour,SP.TSC,260,17.5,260,no,no,Pour,260,2.414973348,2.414973348,17.5,no,no
A,BHI,Pour,STSE,0,0,0,no,none,Pour,5,0.698970004,0.698970004,0,none,no
A,BHI,Spread,HHR.TSC,0,0,0,no,none,Spread,10,1,1,0,none,no
A,BHI,Spread,SP.MSC,120,0,120,no,none,Spread,120,2.079181246,2.079181246,0,none,no
A,BHI,Spread,SP.TSC,60,90,60,yes,yes,Spread,60,1.77815125,1.77815125,90,yes,yes
A,BHI,Spread,STSE,0,0,0,no,none,Spread,10,1,1,0,none,no
A,BHI,SpreadwOverlay,HHR.TSC,40,0,40,no,none,SpreadwOverlay,40,1.602059991,1.602059991,0,none,no
A,BHI,SpreadwOverlay,SP.MSC,300,0,300,no,none,SpreadwOverlay,300,2.477121255,2.477121255,0,none,no
A,BHI,SpreadwOverlay,SP.TSC,240,17.5,240,no,no,SpreadwOverlay,240,2.380211242,2.380211242,17.5,no,no
A,BHI,SpreadwOverlay,STSE,0,0,0,no,none,SpreadwOverlay,10,1,1,0,none,no
A,PCMA,Pour,HHR.TSC,40,0,40,no,none,Pour,40,1.602059991,1.602059991,0,none,no
A,PCMA,Pour,SP.MSC,150,0,150,no,none,Pour,150,2.176091259,2.176091259,0,none,no
A,PCMA,Pour,SP.TSC,250,45,250,yes,yes,Pour,250,2.397940009,2.397940009,45,yes,yes
A,PCMA,Pour,STSE,0,0,0,no,none,Pour,5,0.698970004,0.698970004,0,none,no
A,PCMA,Spread,HHR.TSC,60,0,60,no,none,Spread,60,1.77815125,1.77815125,0,none,no
A,PCMA,Spread,SP.MSC,100,15,100,no,no,Spread,100,2,2,15,no,no
A,PCMA,Spread,SP.TSC,140,75,140,yes,yes,Spread,140,2.146128036,2.146128036,75,yes,yes
A,PCMA,Spread,STSE,0,0,0,no,none,Spread,10,1,1,0,none,no
A,PCMA,SpreadwOverlay,HHR.TSC,20,0,20,no,none,SpreadwOverlay,20,1.301029996,1.301029996,0,none,no
A,PCMA,SpreadwOverlay,SP.MSC,80,0,80,no,none,SpreadwOverlay,80,1.903089987,1.903089987,0,none,no
A,PCMA,SpreadwOverlay,SP.TSC,500,5,500,no,no,SpreadwOverlay,500,2.698970004,2.698970004,5,no,no
A,PCMA,SpreadwOverlay,STSE,0,0,0,no,none,SpreadwOverlay,10,1,1,0,none,no
A,SMA,Pour,HHR.TSC,30,0,30,no,none,Pour,30,1.477121255,1.477121255,0,none,no
A,SMA,Pour,SP.MSC,180,0,180,no,none,Pour,180,2.255272505,2.255272505,0,none,no
A,SMA,Pour,SP.TSC,470,7.5,470,no,no,Pour,470,2.672097858,2.672097858,7.5,no,no
A,SMA,Pour,STSE,0,0,0,no,none,Pour,5,0.698970004,0.698970004,0,none,no
A,SMA,Spread,HHR.TSC,0,0,0,no,none,Spread,10,1,1,0,none,no
A,SMA,Spread,SP.MSC,120,0,120,no,none,Spread,120,2.079181246,2.079181246,0,none,no
A,SMA,Spread,SP.TSC,600,5,600,no,no,Spread,600,2.77815125,2.77815125,5,no,no
A,SMA,Spread,STSE,0,0,0,no,none,Spread,10,1,1,0,none,no
A,SMA,SpreadwOverlay,HHR.TSC,20,0,20,no,none,SpreadwOverlay,20,1.301029996,1.301029996,0,none,no
A,SMA,SpreadwOverlay,SP.MSC,100,0,100,no,none,SpreadwOverlay,100,2,2,0,none,no
A,SMA,SpreadwOverlay,SP.TSC,500,12.5,500,no,no,SpreadwOverlay,500,2.698970004,2.698970004,12.5,no,no
A,SMA,SpreadwOverlay,STSE,0,0,0,no,none,SpreadwOverlay,10,1,1,0,none,no
A,TSAwS,Pour,HHR.TSC,70,0,70,no,none,Pour,70,1.84509804,1.84509804,0,none,no
A,TSAwS,Pour,SP.MSC,110,0,110,no,none,Pour,110,2.041392685,2.041392685,0,none,no
A,TSAwS,Pour,SP.TSC,340,35,340,yes,yes,Pour,340,2.531478917,2.531478917,35,yes,yes
A,TSAwS,Pour,STSE,0,0,0,no,none,Pour,5,0.698970004,0.698970004,0,none,no
A,TSAwS,Spread,HHR.TSC,20,0,20,no,none,Spread,20,1.301029996,1.301029996,0,none,no
A,TSAwS,Spread,SP.MSC,200,30,200,yes,yes,Spread,200,2.301029996,2.301029996,30,yes,yes
A,TSAwS,Spread,SP.TSC,80,75,80,yes,yes,Spread,80,1.903089987,1.903089987,75,yes,yes
A,TSAwS,Spread,STSE,0,0,0,no,none,Spread,10,1,1,0,none,no
A,TSAwS,SpreadwOverlay,HHR.TSC,60,0,60,no,none,SpreadwOverlay,60,1.77815125,1.77815125,0,none,no
A,TSAwS,SpreadwOverlay,SP.MSC,100,0,100,no,none,SpreadwOverlay,100,2,2,0,none,no
A,TSAwS,SpreadwOverlay,SP.TSC,140,0,140,no,none,SpreadwOverlay,140,2.146128036,2.146128036,0,none,no
A,TSAwS,SpreadwOverlay,STSE,0,0,0,no,none,SpreadwOverlay,10,1,1,0,none,no
B,BHI,Pour,HHR.TSC,12000,0,12000,no,none,Pour,12000,4.079181246,4.079181246,0,none,no
B,BHI,Pour,SP.MSC,390,0,390,no,none,Pour,390,2.591064607,2.591064607,0,none,no
B,BHI,Pour,SP.TSC,157000,0,157000,no,none,Pour,157000,5.195899652,5.195899652,0,none,no
B,BHI,Pour,STSE,0,0,0,no,none,Pour,5,0.698970004,0.698970004,0,none,no
B,BHI,Spread,HHR.TSC,180,0,180,no,none,Spread,180,2.255272505,2.255272505,0,none,no
B,BHI,Spread,SP.MSC,280,0,280,no,none,Spread,280,2.447158031,2.447158031,0,none,no
B,BHI,Spread,SP.TSC,6000,0,6000,no,none,Spread,6000,3.77815125,3.77815125,0,none,no
B,BHI,Spread,STSE,0,0,0,no,none,Spread,10,1,1,0,none,no
B,BHI,SpreadwOverlay,HHR.TSC,2680,0,2680,no,none,SpreadwOverlay,2680,3.428134794,3.428134794,0,none,no
B,BHI,SpreadwOverlay,SP.MSC,300,0,300,no,none,SpreadwOverlay,300,2.477121255,2.477121255,0,none,no
B,BHI,SpreadwOverlay,SP.TSC,40000,0,40000,no,none,SpreadwOverlay,40000,4.602059991,4.602059991,0,none,no
B,BHI,SpreadwOverlay,STSE,0,0,0,no,none,SpreadwOverlay,10,1,1,0,none,no
B,PCMA,Pour,HHR.TSC,94000,0,94000,no,none,Pour,94000,4.973127854,4.973127854,0,none,no
B,PCMA,Pour,SP.MSC,120,0,120,no,none,Pour,120,2.079181246,2.079181246,0,none,no
B,PCMA,Pour,SP.TSC,442000,0,442000,no,none,Pour,442000,5.645422269,5.645422269,0,none,no
B,PCMA,Pour,STSE,60,0,60,no,none,Pour,60,1.77815125,1.77815125,0,none,no
B,PCMA,Spread,HHR.TSC,34000,0,34000,no,none,Spread,34000,4.531478917,4.531478917,0,none,no
B,PCMA,Spread,SP.MSC,60,0,60,no,none,Spread,60,1.77815125,1.77815125,0,none,no
B,PCMA,Spread,SP.TSC,474000,0,474000,no,none,Spread,474000,5.675778342,5.675778342,0,none,no
B,PCMA,Spread,STSE,0,0,0,no,none,Spread,10,1,1,0,none,no
B,PCMA,SpreadwOverlay,HHR.TSC,50000,0,50000,no,none,SpreadwOverlay,50000,4.698970004,4.698970004,0,none,no
B,PCMA,SpreadwOverlay,SP.MSC,120,0,120,no,none,SpreadwOverlay,120,2.079181246,2.079181246,0,none,no
B,PCMA,SpreadwOverlay,SP.TSC,402000,0,402000,no,none,SpreadwOverlay,402000,5.604226053,5.604226053,0,none,no
B,PCMA,SpreadwOverlay,STSE,40,0,40,no,none,SpreadwOverlay,40,1.602059991,1.602059991,0,none,no
B,SMA,Pour,HHR.TSC,45000,0,45000,no,none,Pour,45000,4.653212514,4.653212514,0,none,no
B,SMA,Pour,SP.MSC,230,0,230,no,none,Pour,230,2.361727836,2.361727836,0,none,no
B,SMA,Pour,SP.TSC,341000,0,341000,no,none,Pour,341000,5.532754379,5.532754379,0,none,no
B,SMA,Pour,STSE,90,0,90,no,none,Pour,90,1.954242509,1.954242509,0,none,no
B,SMA,Spread,HHR.TSC,62000,0,62000,no,none,Spread,62000,4.792391689,4.792391689,0,none,no
B,SMA,Spread,SP.MSC,200,0,200,no,none,Spread,200,2.301029996,2.301029996,0,none,no
B,SMA,Spread,SP.TSC,426000,0,426000,no,none,Spread,426000,5.629409599,5.629409599,0,none,no
B,SMA,Spread,STSE,40,0,40,no,none,Spread,40,1.602059991,1.602059991,0,none,no
B,SMA,SpreadwOverlay,HHR.TSC,56000,0,56000,no,none,SpreadwOverlay,56000,4.748188027,4.748188027,0,none,no
B,SMA,SpreadwOverlay,SP.MSC,280,0,280,no,none,SpreadwOverlay,280,2.447158031,2.447158031,0,none,no
B,SMA,SpreadwOverlay,SP.TSC,352000,0,352000,no,none,SpreadwOverlay,352000,5.546542663,5.546542663,0,none,no
B,SMA,SpreadwOverlay,STSE,120,0,120,no,none,SpreadwOverlay,120,2.079181246,2.079181246,0,none,no
B,TSAwS,Pour,HHR.TSC,22000,0,22000,no,none,Pour,22000,4.342422681,4.342422681,0,none,no
B,TSAwS,Pour,SP.MSC,210,0,210,no,none,Pour,210,2.322219295,2.322219295,0,none,no
B,TSAwS,Pour,SP.TSC,181000,0,181000,no,none,Pour,181000,5.257678575,5.257678575,0,none,no
B,TSAwS,Pour,STSE,0,0,0,no,none,Pour,5,0.698970004,0.698970004,0,none,no
B,TSAwS,Spread,HHR.TSC,800,0,800,no,none,Spread,800,2.903089987,2.903089987,0,none,no
B,TSAwS,Spread,SP.MSC,220,0,220,no,none,Spread,220,2.342422681,2.342422681,0,none,no
B,TSAwS,Spread,SP.TSC,10000,0,10000,no,none,Spread,10000,4,4,0,none,no
B,TSAwS,Spread,STSE,0,0,0,no,none,Spread,10,1,1,0,none,no
B,TSAwS,SpreadwOverlay,HHR.TSC,4000,0,4000,no,none,SpreadwOverlay,4000,3.602059991,3.602059991,0,none,no
B,TSAwS,SpreadwOverlay,SP.MSC,240,0,240,no,none,SpreadwOverlay,240,2.380211242,2.380211242,0,none,no
B,TSAwS,SpreadwOverlay,SP.TSC,52000,0,52000,no,none,SpreadwOverlay,52000,4.716003344,4.716003344,0,none,no
B,TSAwS,SpreadwOverlay,STSE,0,0,0,no,none,SpreadwOverlay,10,1,1,0,none,no
C,BHI,Pour,HHR.TSC,160,0,160,no,none,Pour,160,2.204119983,2.204119983,0,none,no
C,BHI,Pour,SP.MSC,100,0,100,no,none,Pour,100,2,2,0,none,no
C,BHI,Pour,SP.TSC,540,25,540,no,no,Pour,540,2.73239376,2.73239376,25,no,no
C,BHI,Pour,STSE,70,0,70,no,none,Pour,70,1.84509804,1.84509804,0,none,no
C,BHI,Spread,HHR.TSC,0,0,0,no,none,Spread,10,1,1,0,none,no
C,BHI,Spread,SP.MSC,140,7.5,140,no,no,Spread,140,2.146128036,2.146128036,7.5,no,no
C,BHI,Spread,SP.TSC,80,30,80,yes,yes,Spread,80,1.903089987,1.903089987,30,yes,yes
