powder,sampling_scheme,test,cfu_g,cfu_g2,log_cfu_g
A,11 g discrete,HHR,20,20,1.301029996
A,11 g discrete,SP MSC,60,60,1.77815125
A,11 g discrete,STSE,0,10,1
A,11 g discrete,HHR,20,20,1.301029996
A,11 g discrete,SP MSC,60,60,1.77815125
A,11 g discrete,STSE,0,10,1
A,11 g discrete,HHR,60,60,1.77815125
A,11 g discrete,SP MSC,140,140,2.146128036
A,11 g discrete,STSE,0,10,1
A,33 g discrete,HHR,20,20,1.301029996
A,33 g discrete,SP MSC,60,60,1.77815125
A,33 g discrete,STSE,0,10,1
A,33 g discrete,HHR,60,60,1.77815125
A,33 g discrete,SP MSC,60,60,1.77815125
A,33 g discrete,STSE,0,10,1
A,33 g discrete,HHR,0,10,1
A,33 g discrete,SP MSC,180,180,2.255272505
A,33 g discrete,STSE,0,10,1
A,33 g composite,HHR,0,10,1
A,33 g composite,SP MSC,60,60,1.77815125
A,33 g composite,STSE,0,10,1
A,33 g composite,HHR,40,40,1.602059991
A,33 g composite,SP MSC,160,160,2.204119983
A,33 g composite,STSE,0,10,1
A,33 g composite,HHR,20,20,1.301029996
A,33 g composite,SP MSC,160,160,2.204119983
A,33 g composite,STSE,0,10,1
B,11 g discrete,HHR,80000,80000,4.903089987
B,11 g discrete,SP MSC,200,200,2.301029996
B,11 g discrete,STSE,0,10,1
B,11 g discrete,HHR,66000,66000,4.819543936
B,11 g discrete,SP MSC,40,40,1.602059991
B,11 g discrete,STSE,0,10,1
B,11 g discrete,HHR,84000,84000,4.924279286
B,11 g discrete,SP MSC,20,20,1.301029996
B,11 g discrete,STSE,0,10,1
B,33 g discrete,HHR,114000,114000,5.056904851
B,33 g discrete,SP MSC,60,60,1.77815125
B,33 g discrete,STSE,180,180,2.255272505
B,33 g discrete,HHR,106000,106000,5.025305865
B,33 g discrete,SP MSC,160,160,2.204119983
B,33 g discrete,STSE,20,20,1.301029996
B,33 g discrete,HHR,98000,98000,4.991226076
B,33 g discrete,SP MSC,80,80,1.903089987
B,33 g discrete,STSE,0,10,1
B,33 g composite,HHR,74000,74000,4.86923172
B,33 g composite,SP MSC,80,80,1.903089987
B,33 g composite,STSE,80,80,1.903089987
B,33 g composite,HHR,92000,92000,4.963787827
B,33 g composite,SP MSC,60,60,1.77815125
B,33 g composite,STSE,60,60,1.77815125
B,33 g composite,HHR,86000,86000,4.934498451
B,33 g composite,SP MSC,140,140,2.146128036
B,33 g composite,STSE,0,10,1
C,11 g discrete,HHR,20,20,1.301029996
C,11 g discrete,SP MSC,100,100,2
C,11 g discrete,STSE,60,60,1.77815125
C,11 g discrete,HHR,20,20,1.301029996
C,11 g discrete,SP MSC,80,80,1.903089987
C,11 g discrete,STSE,0,10,1
C,11 g discrete,HHR,160,160,2.204119983
C,11 g discrete,SP MSC,60,60,1.77815125
C,11 g discrete,STSE,60,60,1.77815125
C,33 g discrete,HHR,60,60,1.77815125
C,33 g discrete,SP MSC,180,180,2.255272505
C,33 g discrete,STSE,60,60,1.77815125
C,33 g discrete,HHR,20,20,1.301029996
C,33 g discrete,SP MSC,60,60,1.77815125
C,33 g discrete,STSE,40,40,1.602059991
C,33 g discrete,HHR,140,140,2.146128036
C,33 g discrete,SP MSC,60,60,1.77815125
C,33 g discrete,STSE,40,40,1.602059991
C,33 g composite,HHR,80,80,1.903089987
C,33 g composite,SP MSC,20,20,1.301029996
C,33 g composite,STSE,140,140,2.146128036
C,33 g composite,HHR,120,120,2.079181246
C,33 g composite,SP MSC,120,120,2.079181246
C,33 g composite,STSE,80,80,1.903089987
C,33 g composite,HHR,60,60,1.77815125
C,33 g composite,SP MSC,80,80,1.903089987
C,33 g composite,STSE,100,100,2
D,11 g discrete,HHR,1480,1480,3.170261715
D,11 g discrete,SP MSC,80,80,1.903089987
D,11 g discrete,STSE,220,220,2.342422681
D,11 g discrete,HHR,1080,1080,3.033423755
D,11 g discrete,SP MSC,100,100,2
D,11 g discrete,STSE,140,140,2.146128036
D,11 g discrete,HHR,1360,1360,3.133538908
D,11 g discrete,SP MSC,120,120,2.079181246
D,11 g discrete,STSE,140,140,2.146128036
D,33 g discrete,HHR,780,780,2.892094603
D,33 g discrete,SP MSC,80,80,1.903089987
D,33 g discrete,STSE,320,320,2.505149978
D,33 g discrete,HHR,580,580,2.763427994
D,33 g discrete,SP MSC,100,100,2
D,33 g discrete,STSE,300,300,2.477121255
D,33 g discrete,HHR,1040,1040,3.017033339
D,33 g discrete,SP MSC,140,140,2.146128036
D,33 g discrete,STSE,340,340,2.531478917
D,33 g composite,HHR,640,640,2.806179974
D,33 g composite,SP MSC,40,40,1.602059991
D,33 g composite,STSE,420,420,2.62324929
D,33 g composite,HHR,520,520,2.716003344
D,33 g composite,SP MSC,100,100,2
D,33 g composite,STSE,280,280,2.447158031
D,33 g composite,HHR,1000,1000,3
D,33 g composite,SP MSC,80,80,1.903089987
D,33 g composite,STSE,280,280,2.447158031
E,11 g discrete,HHR,540,540,2.73239376
E,11 g discrete,SP MSC,220,220,2.342422681
E,11 g discrete,STSE,0,10,1
E,11 g discrete,HHR,640,640,2.806179974
E,11 g discrete,SP MSC,280,280,2.447158031
E,11 g discrete,STSE,0,10,1
E,11 g discrete,HHR,460,460,2.662757832
E,11 g discrete,SP MSC,420,420,2.62324929
E,11 g discrete,STSE,0,10,1
E,33 g discrete,HHR,540,540,2.73239376
E,33 g discrete,SP MSC,440,440,2.643452676
E,33 g discrete,STSE,40,40,1.602059991
E,33 g discrete,HHR,700,700,2.84509804
E,33 g discrete,SP MSC,300,300,2.477121255
E,33 g discrete,STSE,20,20,1.301029996
E,33 g discrete,HHR,420,420,2.62324929
E,33 g discrete,SP MSC,320,320,2.505149978
E,33 g discrete,STSE,0,10,1
E,33 g composite,HHR,600,600,2.77815125
E,33 g composite,SP MSC,300,300,2.477121255
E,33 g composite,STSE,0,10,1
E,33 g composite,HHR,560,560,2.748188027
E,33 g composite,SP MSC,300,300,2.477121255
E,33 g composite,STSE,0,10,1
E,33 g composite,HHR,520,520,2.716003344
E,33 g composite,SP MSC,340,340,2.531478917
E,33 g composite,STSE,0,10,1
F,11 g discrete,HHR,5040,5040,3.702430536
F,11 g discrete,SP MSC,0,10,1
F,11 g discrete,STSE,2260,2260,3.354108439
F,11 g discrete,HHR,5000,5000,3.698970004
F,11 g discrete,SP MSC,40,40,1.602059991
F,11 g discrete,STSE,2300,2300,3.361727836
F,11 g discrete,HHR,8200,8200,3.913813852
F,11 g discrete,SP MSC,60,60,1.77815125
F,11 g discrete,STSE,3060,3060,3.485721426
F,33 g discrete,HHR,3940,3940,3.595496222
F,33 g discrete,SP MSC,40,40,1.602059991
F,33 g discrete,STSE,2080,2080,3.318063335
F,33 g discrete,HHR,3960,3960,3.597695186
F,33 g discrete,SP MSC,20,20,1.301029996
F,33 g discrete,STSE,2460,2460,3.390935107
F,33 g discrete,HHR,5280,5280,3.722633923
F,33 g discrete,SP MSC,20,20,1.301029996
F,33 g discrete,STSE,2600,2600,3.414973348
F,33 g composite,HHR,4360,4360,3.639486489
F,33 g composite,SP MSC,20,20,1.301029996
F,33 g composite,STSE,2860,2860,3.456366033
F,33 g composite,HHR,5080,5080,3.705863712
F,33 g composite,SP MSC,80,80,1.903089987
F,33 g composite,STSE,2100,2100,3.322219295
F,33 g composite,HHR,6720,6720,3.827369273
F,33 g composite,SP MSC,20,20,1.301029996
F,33 g composite,STSE,2320,2320,3.365487985
G,11 g discrete,HHR,360,360,2.556302501
G,11 g discrete,SP MSC,40,40,1.602059991
G,11 g discrete,STSE,200,200,2.301029996
G,11 g discrete,HHR,260,260,2.414973348
G,11 g discrete,SP MSC,100,100,2
G,11 g discrete,STSE,100,100,2
G,11 g discrete,HHR,620,620,2.792391689
G,11 g discrete,SP MSC,80,80,1.903089987
G,11 g discrete,STSE,100,100,2
G,33 g discrete,HHR,1720,1720,3.235528447
G,33 g discrete,SP MSC,120,120,2.079181246
G,33 g discrete,STSE,220,220,2.342422681
G,33 g discrete,HHR,860,860,2.934498451
G,33 g discrete,SP MSC,40,40,1.602059991
