"","lab","media","test","powder","mean_count","mean_count2","log_mean_count"
"1","UC","PCMA","HHR.TSC","A",60,60,1.77815125038364
"2","UA","PCMA","HHR.TSC","A",0,10,1
"3","UB","PCMA","HHR.TSC","A",20,20,1.30102999566398
"4","UD","PCMA","HHR.TSC","A",0,10,1
"5","UC","PCMA","HHR.TSC","B",34000,34000,4.53147891704226
"6","UA","PCMA","HHR.TSC","B",3120,3120,3.49415459401844
"7","UB","PCMA","HHR.TSC","B",8320,8320,3.92012332629072
"8","UD","PCMA","HHR.TSC","B",420,420,2.6232492903979
"9","UC","PCMA","HHR.TSC","C",60,60,1.77815125038364
"10","UA","PCMA","HHR.TSC","C",160,160,2.20411998265592
"11","UB","PCMA","HHR.TSC","C",120,120,2.07918124604762
"12","UD","PCMA","HHR.TSC","C",120,120,2.07918124604762
"13","UC","PCMA","HHR.TSC","D",1360,1360,3.13353890837022
"14","UA","PCMA","HHR.TSC","D",360,360,2.55630250076729
"15","UB","PCMA","HHR.TSC","D",220,220,2.34242268082221
"16","UD","PCMA","HHR.TSC","D",646.666666666667,646.666666666667,2.81068047521056
"17","UC","PCMA","HHR.TSC","E",140,140,2.14612803567824
"18","UA","PCMA","HHR.TSC","E",40,40,1.60205999132796
"19","UB","PCMA","HHR.TSC","E",100,100,2
"20","UD","PCMA","HHR.TSC","E",20,20,1.30102999566398
"21","UC","PCMA","HHR.TSC","F",2620,2620,3.41830129131975
"22","UA","PCMA","HHR.TSC","F",7180,7180,3.8561244442423
"23","UB","PCMA","HHR.TSC","F",5200,5200,3.7160033436348
"24","UD","PCMA","HHR.TSC","F",1180,1180,3.07188200730613
"25","UC","PCMA","HHR.TSC","G",1320,1320,3.12057393120585
"26","UA","PCMA","HHR.TSC","G",1400,1400,3.14612803567824
"27","UB","PCMA","HHR.TSC","G",760,760,2.88081359228079
"28","UD","PCMA","HHR.TSC","G",20,20,1.30102999566398
"29","UC","PCMA","HHR.TSC","H",120,120,2.07918124604762
"30","UA","PCMA","HHR.TSC","H",2200,2200,3.34242268082221
"31","UB","PCMA","HHR.TSC","H",60,60,1.77815125038364
"32","UD","PCMA","HHR.TSC","H",0,10,1
"33","UC","PCMA","HHR.TSC","I",20000,20000,4.30102999566398
"34","UA","PCMA","HHR.TSC","I",80,80,1.90308998699194
"35","UB","PCMA","HHR.TSC","I",1360,1360,3.13353890837022
"36","UD","PCMA","HHR.TSC","I",480,480,2.68124123737559
"37","UC","PCMA","HHR.TSC","J",1500,1500,3.17609125905568
"38","UA","PCMA","HHR.TSC","J",880,880,2.94448267215017
"39","UB","PCMA","HHR.TSC","J",1360,1360,3.13353890837022
"40","UD","PCMA","HHR.TSC","J",0,10,1
"41","UC","PCMA","SP.MSC","A",100,100,2
"42","UA","PCMA","SP.MSC","A",20,20,1.30102999566398
"43","UB","PCMA","SP.MSC","A",60,60,1.77815125038364
"44","UD","PCMA","SP.MSC","A",60,60,1.77815125038364
"45","UC","PCMA","SP.MSC","B",60,60,1.77815125038364
"46","UA","PCMA","SP.MSC","B",100,100,2
"47","UB","PCMA","SP.MSC","B",43200,43200,4.63548374681491
"48","UD","PCMA","SP.MSC","B",14453.3333333333,14453.3333333333,4.15996801881067
"49","UC","PCMA","SP.MSC","C",40,40,1.60205999132796
"50","UA","PCMA","SP.MSC","C",20,20,1.30102999566398
"51","UB","PCMA","SP.MSC","C",60,60,1.77815125038364
